source,gen,id,question,ground_truth,hop_type,pipeline,is_coverage_error,predictions,score,faithfulness,sbert_cosine
Arem arem originates from the country of Indonesia where Joko Widodo is the leader and Indonesian is the language.,The leader of the country where Arem arem originates is Joko Widodo.,lettria_001,Who is the leader of the country where Arem arem originates?,Joko Widodo,t5,rag,False,"{'HALL': 0.04720047116279602, 'NOHALL': 0.9527994990348816}",0.04720047116279602,0.952799528837204,0.5914105176925659
"Darinka Dentcheva (United States citizen) with birthdate as January 1, 1958 studied at Humboldt University. Her theory was influenced by Andrzej Piotr Ruszczyński.",Darinka Dentcheva studied at Humboldt University.,lettria_002,Where did Darinka Dentcheva study?,Humboldt University,t5,rag,False,"{'HALL': 0.9511327743530273, 'NOHALL': 0.04886718466877937}",0.9511327743530273,0.048867225646972656,0.5099390745162964
"Agustin Barboza was born in Paraguay and died in Asuncion, Gran Asunción.","Agustin Barboza was born in Asunción, Paraguay.",lettria_003,Where was Agustin Barboza born?,Paraguay,t5,rag,False,"{'HALL': 0.002967294305562973, 'NOHALL': 0.997032642364502}",0.002967294305562973,0.997032705694437,0.45645657181739807
"Akeem Ayers, who was number 39 in the draft pick, is currently a member of the Los Angeles Rams, having previously played with the New England Patriots.",Akeem Ayers previously played for the St. Louis Rams and the New England Patriots.,lettria_004,What team did Akeem Ayers previously play for?,New England Patriots,t5,rag,False,"{'HALL': 0.02837251126766205, 'NOHALL': 0.9716274738311768}",0.02837251126766205,0.971627488732338,0.37257933616638184
"The comic character Bolt was created by Gary Cohn and Ernie Colon, the latter of which is a Puerto Rican national.",The comic character Bolt was created by Paris Cullins and Ernie Colón.,lettria_005,Who created the comic character Bolt?,Gary Cohn and Ernie Colon,t5,rag,False,"{'HALL': 0.9950801134109497, 'NOHALL': 0.00491986284032464}",0.9950801134109497,0.004919886589050293,0.3843736946582794
"1147 Stavropolis, an asteroid, discovered on 11 June 1929 with absolute magnitude of 11.5, has an apoapsis of 418476000000.0 AU.","The apoapsis of the asteroid discovered on 11 June 1929, which is 1147 Stavropolis, is 418,476,000,000.0 AU.",lettria_006,What is the apoapsis of the asteroid discovered on 11 June 1929?,418476000000.0 AU,t5,rag,False,"{'HALL': 0.6937469244003296, 'NOHALL': 0.3062530755996704}",0.6937469244003296,0.3062530755996704,0.3070351183414459
"1147 Stavropolis, discovered by Grigory Neujmin, has an absolute magnitude of 11.5.",1147 Stavropolis was discovered by Grigory Neujmin.,lettria_007,Who discovered 1147 Stavropolis?,Grigory Neujmin,t5,rag,False,"{'HALL': 0.8570920825004578, 'NOHALL': 0.14290788769721985}",0.8570920825004578,0.14290791749954224,0.5527872443199158
The United States is the country of Bacon Explosion. Barack Obama is the leader and Washington D.C. is the capital.,"The leader of the United States, where the Bacon Explosion comes from, is Joe Biden.",lettria_008,Who is the leader of the country where Bacon Explosion comes from?,Barack Obama,t5,rag,False,"{'HALL': 0.9998646974563599, 'NOHALL': 0.0001352785766357556}",0.9998646974563599,0.00013530254364013672,0.40318942070007324
Pop rock is the genre of the band Train.,The genre of the band Train is pop rock.,lettria_009,What is the genre of the band Train?,Pop rock,t5,rag,False,"{'HALL': 0.010274948552250862, 'NOHALL': 0.9897251129150391}",0.010274948552250862,0.9897250514477491,0.6538351774215698
The A Rosa Luna is powered by a MTU Friedrichshafen engine. It was built by Neptun Werft in Rostock.,The A-Rosa Luna was built by Neptun Werft in Rostock.,lettria_010,Who built the A Rosa Luna?,Neptun Werft,t5,rag,False,"{'HALL': 0.08236614614725113, 'NOHALL': 0.9176338911056519}",0.08236614614725113,0.9176338538527489,0.4622580409049988
"In print, A Loyal Character Dancer was penned by Qiu Xiaolong and has the OCLC number 49805501.",The author of the printed book with OCLC number 49805501 cannot be determined from the provided context.,lettria_011,Who is the author of the printed book with OCLC number 49805501?,Qiu Xiaolong,t5,rag,True,"{'HALL': 0.9936442375183105, 'NOHALL': 0.006355763413012028}",0.9936442375183105,0.006355762481689453,0.04981743544340134
"AEK Athens FC, whose home ground is in Greece, has 69618 members and compete in the Superleague Greece.","AEK Athens FC has 69,618 members.",lettria_012,How many members does AEK Athens FC have?,69618,t5,rag,False,"{'HALL': 0.008986198343336582, 'NOHALL': 0.9910138249397278}",0.008986198343336582,0.9910138016566634,0.2906748950481415
"Arrabbiata sauce is from Italy, where the language is Italian and Pietro Grasso is the leader.",The leader of the country where Arrabbiata sauce comes from is Sergio Mattarella.,lettria_013,Who is the leader of the country where Arrabbiata sauce comes from?,Pietro Grasso,t5,rag,False,"{'HALL': 0.9987812638282776, 'NOHALL': 0.0012187301181256771}",0.9987812638282776,0.0012187361717224121,0.3170395493507385
"The European Space Agency manufactured the Ariane 5, which was launched from the Guiana Space Centre, and had a final flight on the 18th December 2009.",The Ariane 5 was launched from the ELA-3 launchpad.,lettria_014,Where was the Ariane 5 launched from?,the Guiana Space Centre,t5,rag,False,"{'HALL': 0.9983476400375366, 'NOHALL': 0.0016524019883945584}",0.9983476400375366,0.001652359962463379,0.1500239372253418
"The duration of the film 'It's great to be young', from 1956, is 94 minutes.",The film 'It's Great to Be Young' is 94 minutes long.,lettria_015,How long is the film 'It's great to be young'?,94 minutes,t5,rag,False,"{'HALL': 0.03963873162865639, 'NOHALL': 0.9603613018989563}",0.03963873162865639,0.9603612683713436,0.42901062965393066
"Former The Wildweeds member, Al Anderson, is the guitarist in the band NRBQ, which plays Rock music.","The band where Al Anderson is the guitarist, NRBQ, plays Rock music.",lettria_016,What music genre is played by the band where Al Anderson is the guitarist?,Rock music,t5,rag,False,"{'HALL': 0.08332660049200058, 'NOHALL': 0.9166734218597412}",0.08332660049200058,0.9166733995079994,0.47383177280426025
Agremiação Sportiva Arapiraquense's ground is Estádio Municipal Coaracy da Mata Fonseca in Arapiraca. The team played in the Brazilian Campeonato Brasileiro Série C league and competed in the 2015 season of that league.,"The team based at Estádio Municipal Coaracy da Mata Fonseca, Agremiação Sportiva Arapiraquense, plays in the Campeonato Brasileiro Série C league.",lettria_017,What Brazilian league does the team based at Estádio Municipal Coaracy da Mata Fonseca play in?,Campeonato Brasileiro Série C,t5,rag,False,"{'HALL': 0.9579870700836182, 'NOHALL': 0.04201295226812363}",0.9579870700836182,0.042012929916381836,0.5469337105751038
"Anderson is part of Madison County, Indiana in the U.S.","Anderson is part of Madison County, Indiana.",lettria_018,What county is Anderson part of?,"Madison County, Indiana",t5,rag,False,"{'HALL': 0.5581647157669067, 'NOHALL': 0.44183531403541565}",0.5581647157669067,0.44183528423309326,0.7605946063995361
"Chinabank, founded on 08-16-1920, offers banking services as well as having a net income of 15,100,000,000.","Chinabank's net income is 15,100,000,000.",lettria_019,What is Chinabank's net income?,"15,100,000,000",t5,rag,False,"{'HALL': 0.13434861600399017, 'NOHALL': 0.8656514286994934}",0.13434861600399017,0.8656513839960098,0.4957160949707031
"Alpena County Regional Airport is located in Wilson Township, Alpena County, Michigan in the United States. It has a runway length of 1533.0.","Alpena County Regional Airport is located in Wilson Township, Alpena County, Michigan, United States.",lettria_020,Where is Alpena County Regional Airport located?,"Wilson Township, Alpena County, Michigan",t5,rag,False,"{'HALL': 9.768763993633911e-05, 'NOHALL': 0.9999022483825684}",9.768763993633911e-05,0.9999023123600637,0.7650585174560547
There are 250 academic staff at the AWH Engineering College in the state of Kerala. The College was established in 2001.,"The college established in 2001 in Kerala is AWH Engineering College. According to the context, it has 250 academic staff. 

Therefore, 250 academic staff work at the college established in 2001 in Kerala.",lettria_021,How many academic staff work at the college established in 2001 in Kerala?,250,t5,rag,False,"{'HALL': 0.03695426508784294, 'NOHALL': 0.9630457162857056}",0.03695426508784294,0.9630457349121571,0.16925126314163208
Anaheim is part of California in the US and is led by the California State Assembly.,"The provided context is inconsistent and contains incorrect information about who leads Anaheim. However, based on the factual details in the context:

- Anaheim is a city in Orange County, California, in the United States.
- The context incorrectly states that Anaheim is led by the California State Assembly, the President of the United States, or the United States House of Representatives.

In reality, Anaheim is led by its city government, including a mayor and city council. But based solely on the provided context, none of the statements correctly identify the actual leader of Anaheim. Therefore, **the context does not provide a correct or consistent answer** to who leads Anaheim.",lettria_022,Who leads Anaheim?,California State Assembly,t5,rag,True,"{'HALL': 0.943862795829773, 'NOHALL': 0.05613722279667854}",0.943862795829773,0.05613720417022705,0.3004297614097595
Airey Neave fought in World War II which included the East African Campaign and had Benito Mussolini as a commander.,Benito Mussolini was a commander in the war Airey Neave fought in.,lettria_023,Who was a commander in the war Airey Neave fought in?,Benito Mussolini,t5,rag,False,"{'HALL': 0.10519163310527802, 'NOHALL': 0.8948083519935608}",0.10519163310527802,0.894808366894722,0.6771969199180603
"Brandon Carter was born on January 1st, 1942, in England. He graduated from the University of Cambridge, where his doctoral advisor was Dennis William Sciama. Carter is know for his Doomsday argument and for his work on the Anthropic Principle.","The doctoral advisor of the scientist born on January 1st, 1942 in England, Brandon Carter, was Dennis William Sciama.",lettria_024,"Who was the doctoral advisor of the scientist born on January 1st, 1942 in England?",Dennis William Sciama,t5,rag,False,"{'HALL': 0.0029169770423322916, 'NOHALL': 0.9970830082893372}",0.0029169770423322916,0.9970830229576677,0.6565297842025757
"Big Hero 6, distributed by Walt Disney Studios Motion Pictures, starred Ryan Potter and was Baymax's first film appearance.",The film Big Hero 6 starred Ryan Potter.,lettria_025,Who starred in Big Hero 6?,Ryan Potter,t5,rag,False,"{'HALL': 0.0034345632884651423, 'NOHALL': 0.9965654015541077}",0.0034345632884651423,0.9965654367115349,0.5108702182769775
