source,gen,id,question,ground_truth,hop_type,pipeline,is_coverage_error,predictions,score,faithfulness,sbert_cosine
Arem arem originates from the country of Indonesia where Joko Widodo is the leader and Indonesian is the language.,The leader of the country where Arem arem originates is Joko Widodo.,lettria_001,Who is the leader of the country where Arem arem originates?,Joko Widodo,t5,rag_hybrid,False,"{'HALL': 0.04720047116279602, 'NOHALL': 0.9527994990348816}",0.04720047116279602,0.952799528837204,0.5914105176925659
"Darinka Dentcheva (United States citizen) with birthdate as January 1, 1958 studied at Humboldt University. Her theory was influenced by Andrzej Piotr Ruszczyński.",Darinka Dentcheva studied at Humboldt University.,lettria_002,Where did Darinka Dentcheva study?,Humboldt University,t5,rag_hybrid,False,"{'HALL': 0.9511327743530273, 'NOHALL': 0.04886718466877937}",0.9511327743530273,0.048867225646972656,0.5099390745162964
"Agustin Barboza was born in Paraguay and died in Asuncion, Gran Asunción.","Agustin Barboza was born in Asuncion, Paraguay.",lettria_003,Where was Agustin Barboza born?,Paraguay,t5,rag_hybrid,False,"{'HALL': 0.002967294305562973, 'NOHALL': 0.997032642364502}",0.002967294305562973,0.997032705694437,0.45645657181739807
"Akeem Ayers, who was number 39 in the draft pick, is currently a member of the Los Angeles Rams, having previously played with the New England Patriots.",Akeem Ayers previously played for the New England Patriots.,lettria_004,What team did Akeem Ayers previously play for?,New England Patriots,t5,rag_hybrid,False,"{'HALL': 0.9950181245803833, 'NOHALL': 0.004981806501746178}",0.9950181245803833,0.004981875419616699,0.4831027388572693
"The comic character Bolt was created by Gary Cohn and Ernie Colon, the latter of which is a Puerto Rican national.","The comic character Bolt was created by Gary Cohn and Ernie Colón, and also by Dan Mishkin and Paris Cullins, according to the provided context. However, the most consistent information across the statements identifies Gary Cohn and Ernie Colón as the creators, with Ernie Colón being a Puerto Rican national. Paris Cullins is mentioned in two contexts, once with Dan Mishkin and once with Ernie Colón, suggesting possible confusion or multiple versions. But the most repeated and consistent creation team is Gary Cohn and Ernie Colón. Therefore, the primary creators of the comic character Bolt are Gary Cohn and Ernie Colón.",lettria_005,Who created the comic character Bolt?,Gary Cohn and Ernie Colon,t5,rag_hybrid,False,"{'HALL': 0.028130782768130302, 'NOHALL': 0.971869170665741}",0.028130782768130302,0.9718692172318697,0.4747928977012634
"1147 Stavropolis, an asteroid, discovered on 11 June 1929 with absolute magnitude of 11.5, has an apoapsis of 418476000000.0 AU.","The apoapsis of the asteroid discovered on 11 June 1929, which is 1147 Stavropolis, is 418,476,000,000.0 AU.",lettria_006,What is the apoapsis of the asteroid discovered on 11 June 1929?,418476000000.0 AU,t5,rag_hybrid,False,"{'HALL': 0.6937469244003296, 'NOHALL': 0.3062530755996704}",0.6937469244003296,0.3062530755996704,0.3070351183414459
"1147 Stavropolis, discovered by Grigory Neujmin, has an absolute magnitude of 11.5.",1147 Stavropolis was discovered by Grigory Neujmin.,lettria_007,Who discovered 1147 Stavropolis?,Grigory Neujmin,t5,rag_hybrid,False,"{'HALL': 0.8570920825004578, 'NOHALL': 0.14290788769721985}",0.8570920825004578,0.14290791749954224,0.5527872443199158
The United States is the country of Bacon Explosion. Barack Obama is the leader and Washington D.C. is the capital.,"The leader of the United States, the country where Bacon Explosion comes from, is Joe Biden.",lettria_008,Who is the leader of the country where Bacon Explosion comes from?,Barack Obama,t5,rag_hybrid,False,"{'HALL': 0.9997530579566956, 'NOHALL': 0.00024688965640962124}",0.9997530579566956,0.00024694204330444336,0.3997105360031128
Pop rock is the genre of the band Train.,The genre of the band Train is pop rock.,lettria_009,What is the genre of the band Train?,Pop rock,t5,rag_hybrid,False,"{'HALL': 0.010274948552250862, 'NOHALL': 0.9897251129150391}",0.010274948552250862,0.9897250514477491,0.6538350582122803
The A Rosa Luna is powered by a MTU Friedrichshafen engine. It was built by Neptun Werft in Rostock.,"The A-Rosa Luna was built by Neptun Werft in Rostock, Germany.",lettria_010,Who built the A Rosa Luna?,Neptun Werft,t5,rag_hybrid,False,"{'HALL': 0.017162129282951355, 'NOHALL': 0.9828379154205322}",0.017162129282951355,0.9828378707170486,0.43111950159072876
"In print, A Loyal Character Dancer was penned by Qiu Xiaolong and has the OCLC number 49805501.",The author of the printed book with OCLC number 49805501 is Qiu Xiaolong.,lettria_011,Who is the author of the printed book with OCLC number 49805501?,Qiu Xiaolong,t5,rag_hybrid,False,"{'HALL': 0.000556711689569056, 'NOHALL': 0.9994432330131531}",0.000556711689569056,0.9994432883104309,0.6317616701126099
"AEK Athens FC, whose home ground is in Greece, has 69618 members and compete in the Superleague Greece.","AEK Athens FC has 69,618 members.",lettria_012,How many members does AEK Athens FC have?,69618,t5,rag_hybrid,False,"{'HALL': 0.008986198343336582, 'NOHALL': 0.9910138249397278}",0.008986198343336582,0.9910138016566634,0.2906748950481415
"Arrabbiata sauce is from Italy, where the language is Italian and Pietro Grasso is the leader.",The leader of the country where Arrabbiata sauce comes from is Sergio Mattarella.,lettria_013,Who is the leader of the country where Arrabbiata sauce comes from?,Pietro Grasso,t5,rag_hybrid,False,"{'HALL': 0.9987812638282776, 'NOHALL': 0.0012187301181256771}",0.9987812638282776,0.0012187361717224121,0.3170395493507385
"The European Space Agency manufactured the Ariane 5, which was launched from the Guiana Space Centre, and had a final flight on the 18th December 2009.","The Ariane 5 was launched from the ELA-3 launchpad at the Guiana Space Centre in Kourou, French Guiana.",lettria_014,Where was the Ariane 5 launched from?,the Guiana Space Centre,t5,rag_hybrid,False,"{'HALL': 0.9456964135169983, 'NOHALL': 0.05430356040596962}",0.9456964135169983,0.05430358648300171,0.5088968276977539
"The duration of the film 'It's great to be young', from 1956, is 94 minutes.",The film 'It's Great to Be Young' is 94 minutes long.,lettria_015,How long is the film 'It's great to be young'?,94 minutes,t5,rag_hybrid,False,"{'HALL': 0.03963873162865639, 'NOHALL': 0.9603613018989563}",0.03963873162865639,0.9603612683713436,0.42901062965393066
"Former The Wildweeds member, Al Anderson, is the guitarist in the band NRBQ, which plays Rock music.","The band where Al Anderson is the guitarist, NRBQ, plays Rock music.",lettria_016,What music genre is played by the band where Al Anderson is the guitarist?,Rock music,t5,rag_hybrid,False,"{'HALL': 0.08332660049200058, 'NOHALL': 0.9166734218597412}",0.08332660049200058,0.9166733995079994,0.47383177280426025
Agremiação Sportiva Arapiraquense's ground is Estádio Municipal Coaracy da Mata Fonseca in Arapiraca. The team played in the Brazilian Campeonato Brasileiro Série C league and competed in the 2015 season of that league.,"The team based at Estádio Municipal Coaracy da Mata Fonseca, Agremiação Sportiva Arapiraquense, plays in the Campeonato Brasileiro Série C league.",lettria_017,What Brazilian league does the team based at Estádio Municipal Coaracy da Mata Fonseca play in?,Campeonato Brasileiro Série C,t5,rag_hybrid,False,"{'HALL': 0.9579870700836182, 'NOHALL': 0.04201295226812363}",0.9579870700836182,0.042012929916381836,0.5469337105751038
"Anderson is part of Madison County, Indiana in the U.S.","Anderson is part of Madison County, Indiana.",lettria_018,What county is Anderson part of?,"Madison County, Indiana",t5,rag_hybrid,False,"{'HALL': 0.5581647157669067, 'NOHALL': 0.44183531403541565}",0.5581647157669067,0.44183528423309326,0.7605946063995361
"Chinabank, founded on 08-16-1920, offers banking services as well as having a net income of 15,100,000,000.","Chinabank's net income is 15,100,000,000.",lettria_019,What is Chinabank's net income?,"15,100,000,000",t5,rag_hybrid,False,"{'HALL': 0.13434861600399017, 'NOHALL': 0.8656514286994934}",0.13434861600399017,0.8656513839960098,0.4957160949707031
"Alpena County Regional Airport is located in Wilson Township, Alpena County, Michigan in the United States. It has a runway length of 1533.0.","Alpena County Regional Airport is located in Wilson Township, Alpena County, Michigan, in the United States.",lettria_020,Where is Alpena County Regional Airport located?,"Wilson Township, Alpena County, Michigan",t5,rag_hybrid,False,"{'HALL': 8.241586328949779e-05, 'NOHALL': 0.9999176263809204}",8.241586328949779e-05,0.9999175841367105,0.7592675685882568
There are 250 academic staff at the AWH Engineering College in the state of Kerala. The College was established in 2001.,250 academic staff work at the college established in 2001 in Kerala.,lettria_021,How many academic staff work at the college established in 2001 in Kerala?,250,t5,rag_hybrid,False,"{'HALL': 0.2378232777118683, 'NOHALL': 0.7621767520904541}",0.2378232777118683,0.7621767222881317,0.3194502592086792
Anaheim is part of California in the US and is led by the California State Assembly.,Anaheim is led by the United States House of Representatives.,lettria_022,Who leads Anaheim?,California State Assembly,t5,rag_hybrid,False,"{'HALL': 0.10110838711261749, 'NOHALL': 0.8988916873931885}",0.10110838711261749,0.8988916128873825,0.3342632055282593
Airey Neave fought in World War II which included the East African Campaign and had Benito Mussolini as a commander.,Benito Mussolini was a commander in the war Airey Neave fought in.,lettria_023,Who was a commander in the war Airey Neave fought in?,Benito Mussolini,t5,rag_hybrid,False,"{'HALL': 0.10519163310527802, 'NOHALL': 0.8948083519935608}",0.10519163310527802,0.894808366894722,0.6771969199180603
"Brandon Carter was born on January 1st, 1942, in England. He graduated from the University of Cambridge, where his doctoral advisor was Dennis William Sciama. Carter is know for his Doomsday argument and for his work on the Anthropic Principle.","The doctoral advisor of the scientist born on January 1st, 1942, in England, Brandon Carter, was Dennis William Sciama.",lettria_024,"Who was the doctoral advisor of the scientist born on January 1st, 1942 in England?",Dennis William Sciama,t5,rag_hybrid,False,"{'HALL': 0.003508104244247079, 'NOHALL': 0.9964918494224548}",0.003508104244247079,0.9964918957557529,0.6649307608604431
"Big Hero 6, distributed by Walt Disney Studios Motion Pictures, starred Ryan Potter and was Baymax's first film appearance.","The film Big Hero 6 stars Alan Tudyk, Damon Wayans, Jr., and Scott Adsit.",lettria_025,Who starred in Big Hero 6?,Ryan Potter,t5,rag_hybrid,False,"{'HALL': 0.9207007884979248, 'NOHALL': 0.07929926365613937}",0.9207007884979248,0.0792992115020752,0.25609374046325684
"Albuquerque is in New Mexico, United States. Americans live in the U.S. and Asian Americans are an ethnic group there.","Albuquerque is located in New Mexico, United States.",lettria_026,Where is Albuquerque located?,"New Mexico, United States",t5,rag_hybrid,False,"{'HALL': 0.0004322287568356842, 'NOHALL': 0.9995678067207336}",0.0004322287568356842,0.9995677712431643,0.7156045436859131
Atlanta is located in the United States (capital: Washington D.C.) and African Americans are an ethnic group in the country.,"The capital of the country where Atlanta is located is Washington, D.C.",lettria_027,What is the capital of the country where Atlanta is located?,Washington D.C.,t5,rag_hybrid,False,"{'HALL': 0.995323121547699, 'NOHALL': 0.004676923155784607}",0.995323121547699,0.004676878452301025,0.5525606870651245
Albert Jennings Fountain was born in the United States and died in the New Mexico Territory. An ethnic group in the U.S.A. are African Americans.,Albert Jennings Fountain died in the New Mexico Territory.,lettria_028,Where did Albert Jennings Fountain die?,New Mexico Territory,t5,rag_hybrid,False,"{'HALL': 0.0777825340628624, 'NOHALL': 0.9222174286842346}",0.0777825340628624,0.9222174659371376,0.38145649433135986
