source,gen,id,question,ground_truth,hop_type,pipeline,is_coverage_error
Arem arem originates from the country of Indonesia where Joko Widodo is the leader and Indonesian is the language.,The leaders of the country where Arem arem originates (Indonesia) mentioned in the context are Joko Widodo and Jusuf Kalla.,lettria_001,Who is the leader of the country where Arem arem originates?,Joko Widodo,t5,rag_k15,False
"Darinka Dentcheva (United States citizen) with birthdate as January 1, 1958 studied at Humboldt University. Her theory was influenced by Andrzej Piotr Ruszczyński.",Darinka Dentcheva studied at Humboldt University.,lettria_002,Where did Darinka Dentcheva study?,Humboldt University,t5,rag_k15,False
"Agustin Barboza was born in Paraguay and died in Asuncion, Gran Asunción.","Agustin Barboza was born in Asunción, Paraguay.",lettria_003,Where was Agustin Barboza born?,Paraguay,t5,rag_k15,False
"Akeem Ayers, who was number 39 in the draft pick, is currently a member of the Los Angeles Rams, having previously played with the New England Patriots.","Akeem Ayers previously played for the St. Louis Rams, Tennessee Titans, and New England Patriots.",lettria_004,What team did Akeem Ayers previously play for?,New England Patriots,t5,rag_k15,False
"The comic character Bolt was created by Gary Cohn and Ernie Colon, the latter of which is a Puerto Rican national.","The comic character Bolt was created by a combination of writers and artists, with multiple conflicting attributions in the provided context. However, the most consistent names across the statements are:

- **Ernie Colón** (also spelled Ernie Colon) appears in multiple statements as a creator.
- **Paris Cullins** is mentioned in several statements as a creator, and is noted as an American.
- **Dan Mishkin** is mentioned in several statements as a co-creator.
- **Gary Cohn** is mentioned in multiple statements as a creator.

Despite the inconsistencies, the most frequently recurring pairs are:
- **Ernie Colón and Dan Mishkin**
- **Ernie Colón and Paris Cullins**
- **Gary Cohn and Paris Cullins**

However, the most repeated and consistent creation credit is:
- **Ernie Colón and Dan Mishkin**

Therefore, based on the provided context, the comic character Bolt was created by **Ernie Colón and Dan Mishkin**.",lettria_005,Who created the comic character Bolt?,Gary Cohn and Ernie Colon,t5,rag_k15,False
"1147 Stavropolis, an asteroid, discovered on 11 June 1929 with absolute magnitude of 11.5, has an apoapsis of 418476000000.0 AU.","The apoapsis of the asteroid discovered on 11 June 1929, which is 1147 Stavropolis, is 418,476,000,000.0 AU.",lettria_006,What is the apoapsis of the asteroid discovered on 11 June 1929?,418476000000.0 AU,t5,rag_k15,False
"1147 Stavropolis, discovered by Grigory Neujmin, has an absolute magnitude of 11.5.",1147 Stavropolis was discovered by Grigory Neujmin.,lettria_007,Who discovered 1147 Stavropolis?,Grigory Neujmin,t5,rag_k15,False
The United States is the country of Bacon Explosion. Barack Obama is the leader and Washington D.C. is the capital.,"The leader of the United States, the country where the Bacon Explosion comes from, is Joe Biden.",lettria_008,Who is the leader of the country where Bacon Explosion comes from?,Barack Obama,t5,rag_k15,False
Pop rock is the genre of the band Train.,The genre of the band Train is pop rock.,lettria_009,What is the genre of the band Train?,Pop rock,t5,rag_k15,False
The A Rosa Luna is powered by a MTU Friedrichshafen engine. It was built by Neptun Werft in Rostock.,"The A-Rosa Luna was built by Neptun Werft in Rostock, Germany.",lettria_010,Who built the A Rosa Luna?,Neptun Werft,t5,rag_k15,False
