source,gen,id,question,ground_truth,hop_type,pipeline,is_coverage_error
Arem arem originates from the country of Indonesia where Joko Widodo is the leader and Indonesian is the language.,The leader of the country where Arem arem originates is Joko Widodo.,lettria_001,Who is the leader of the country where Arem arem originates?,Joko Widodo,t5,rag_hybrid,False
"Darinka Dentcheva (United States citizen) with birthdate as January 1, 1958 studied at Humboldt University. Her theory was influenced by Andrzej Piotr Ruszczyński.",Darinka Dentcheva studied at Humboldt University.,lettria_002,Where did Darinka Dentcheva study?,Humboldt University,t5,rag_hybrid,False
"Agustin Barboza was born in Paraguay and died in Asuncion, Gran Asunción.","Agustin Barboza was born in Asuncion, Paraguay.",lettria_003,Where was Agustin Barboza born?,Paraguay,t5,rag_hybrid,False
"Akeem Ayers, who was number 39 in the draft pick, is currently a member of the Los Angeles Rams, having previously played with the New England Patriots.",Akeem Ayers previously played for the St. Louis Rams and the Tennessee Titans.,lettria_004,What team did Akeem Ayers previously play for?,New England Patriots,t5,rag_hybrid,False
"The comic character Bolt was created by Gary Cohn and Ernie Colon, the latter of which is a Puerto Rican national.","The comic character Bolt was created by Gary Cohn, Paris Cullins, Ernie Colón, and Dan Mishkin.",lettria_005,Who created the comic character Bolt?,Gary Cohn and Ernie Colon,t5,rag_hybrid,False
"1147 Stavropolis, an asteroid, discovered on 11 June 1929 with absolute magnitude of 11.5, has an apoapsis of 418476000000.0 AU.","The apoapsis of the asteroid discovered on 11 June 1929, which is 1147 Stavropolis, is 418,476,000,000.0 AU.",lettria_006,What is the apoapsis of the asteroid discovered on 11 June 1929?,418476000000.0 AU,t5,rag_hybrid,False
"1147 Stavropolis, discovered by Grigory Neujmin, has an absolute magnitude of 11.5.",1147 Stavropolis was discovered by Grigory Neujmin.,lettria_007,Who discovered 1147 Stavropolis?,Grigory Neujmin,t5,rag_hybrid,False
The United States is the country of Bacon Explosion. Barack Obama is the leader and Washington D.C. is the capital.,The leader of the country where Bacon Explosion comes from is Joe Biden.,lettria_008,Who is the leader of the country where Bacon Explosion comes from?,Barack Obama,t5,rag_hybrid,False
Pop rock is the genre of the band Train.,The genre of the band Train is pop rock.,lettria_009,What is the genre of the band Train?,Pop rock,t5,rag_hybrid,False
The A Rosa Luna is powered by a MTU Friedrichshafen engine. It was built by Neptun Werft in Rostock.,"The A Rosa Luna was built by Neptun Werft in Rostock, Germany.",lettria_010,Who built the A Rosa Luna?,Neptun Werft,t5,rag_hybrid,False
"In print, A Loyal Character Dancer was penned by Qiu Xiaolong and has the OCLC number 49805501.","The provided context does not contain information about the author of the printed book with OCLC number 49805501. Therefore, based on the given information, the author cannot be determined.",lettria_011,Who is the author of the printed book with OCLC number 49805501?,Qiu Xiaolong,t5,rag_hybrid,True
"AEK Athens FC, whose home ground is in Greece, has 69618 members and compete in the Superleague Greece.","AEK Athens FC has 69,618 members.",lettria_012,How many members does AEK Athens FC have?,69618,t5,rag_hybrid,False
"Arrabbiata sauce is from Italy, where the language is Italian and Pietro Grasso is the leader.",The leader of the country where Arrabbiata sauce comes from is Sergio Mattarella.,lettria_013,Who is the leader of the country where Arrabbiata sauce comes from?,Pietro Grasso,t5,rag_hybrid,False
"The European Space Agency manufactured the Ariane 5, which was launched from the Guiana Space Centre, and had a final flight on the 18th December 2009.",The Ariane 5 was launched from the Guiana Space Centre at ELA-3.,lettria_014,Where was the Ariane 5 launched from?,the Guiana Space Centre,t5,rag_hybrid,False
"The duration of the film 'It's great to be young', from 1956, is 94 minutes.",The film 'It's great to be young' is 94 minutes long.,lettria_015,How long is the film 'It's great to be young'?,94 minutes,t5,rag_hybrid,False
"Former The Wildweeds member, Al Anderson, is the guitarist in the band NRBQ, which plays Rock music.","The band where Al Anderson is the guitarist, NRBQ, plays Rock music.",lettria_016,What music genre is played by the band where Al Anderson is the guitarist?,Rock music,t5,rag_hybrid,False
Agremiação Sportiva Arapiraquense's ground is Estádio Municipal Coaracy da Mata Fonseca in Arapiraca. The team played in the Brazilian Campeonato Brasileiro Série C league and competed in the 2015 season of that league.,"The team based at Estádio Municipal Coaracy da Mata Fonseca, Agremiação Sportiva Arapiraquense, plays in the Campeonato Brasileiro Série C league in Brazil.",lettria_017,What Brazilian league does the team based at Estádio Municipal Coaracy da Mata Fonseca play in?,Campeonato Brasileiro Série C,t5,rag_hybrid,False
"Anderson is part of Madison County, Indiana in the U.S.","Anderson is part of Madison County, Indiana.",lettria_018,What county is Anderson part of?,"Madison County, Indiana",t5,rag_hybrid,False
"Chinabank, founded on 08-16-1920, offers banking services as well as having a net income of 15,100,000,000.","Chinabank's net income is 15,100,000,000.",lettria_019,What is Chinabank's net income?,"15,100,000,000",t5,rag_hybrid,False
"Alpena County Regional Airport is located in Wilson Township, Alpena County, Michigan in the United States. It has a runway length of 1533.0.","Alpena County Regional Airport is located in Wilson Township, Alpena County, Michigan, United States.",lettria_020,Where is Alpena County Regional Airport located?,"Wilson Township, Alpena County, Michigan",t5,rag_hybrid,False
