source,gen,id,question,ground_truth,hop_type,pipeline,is_coverage_error
Arem arem originates from the country of Indonesia where Joko Widodo is the leader and Indonesian is the language.,"The context provided does not include information about the leader of Indonesia. Therefore, based on the given information, the leader of the country where Arem-arem originates cannot be determined.",lettria_001,Who is the leader of the country where Arem arem originates?,Joko Widodo,t5,graphrag_hybrid_k4,True
"Darinka Dentcheva (United States citizen) with birthdate as January 1, 1958 studied at Humboldt University. Her theory was influenced by Andrzej Piotr Ruszczyński.",The provided context does not include information about where Darinka Dentcheva studied.,lettria_002,Where did Darinka Dentcheva study?,Humboldt University,t5,graphrag_hybrid_k4,True
"Agustin Barboza was born in Paraguay and died in Asuncion, Gran Asunción.",Agustin Barboza was born in Paraguay.,lettria_003,Where was Agustin Barboza born?,Paraguay,t5,graphrag_hybrid_k4,False
"Akeem Ayers, who was number 39 in the draft pick, is currently a member of the Los Angeles Rams, having previously played with the New England Patriots.",Akeem Ayers previously played for the Tennessee Titans.,lettria_004,What team did Akeem Ayers previously play for?,New England Patriots,t5,graphrag_hybrid_k4,False
"The comic character Bolt was created by Gary Cohn and Ernie Colon, the latter of which is a Puerto Rican national.",The comic character Bolt was created by Dan Mishkin and Ernie Colon.,lettria_005,Who created the comic character Bolt?,Gary Cohn and Ernie Colon,t5,graphrag_hybrid_k4,False
"1147 Stavropolis, an asteroid, discovered on 11 June 1929 with absolute magnitude of 11.5, has an apoapsis of 418476000000.0 AU.","The provided context only mentions the discovery date of the asteroid 1147 Stavropolis, which is 1929-06-11 (11 June 1929). However, there is no information about the apoapsis of this asteroid in the given data.

Therefore, based solely on the context, the apoapsis of the asteroid discovered on 11 June 1929 cannot be determined.",lettria_006,What is the apoapsis of the asteroid discovered on 11 June 1929?,418476000000.0 AU,t5,graphrag_hybrid_k4,True
"1147 Stavropolis, discovered by Grigory Neujmin, has an absolute magnitude of 11.5.",1147 Stavropolis was discovered by Grigory Neujmin.,lettria_007,Who discovered 1147 Stavropolis?,Grigory Neujmin,t5,graphrag_hybrid_k4,False
The United States is the country of Bacon Explosion. Barack Obama is the leader and Washington D.C. is the capital.,"The Bacon Explosion comes from the United States. However, the provided context does not include information about the leader of the United States. Therefore, based on the given information, the leader cannot be determined.",lettria_008,Who is the leader of the country where Bacon Explosion comes from?,Barack Obama,t5,graphrag_hybrid_k4,True
Pop rock is the genre of the band Train.,The genre of the band Train is pop-rock and Pop rock.,lettria_009,What is the genre of the band Train?,Pop rock,t5,graphrag_hybrid_k4,False
The A Rosa Luna is powered by a MTU Friedrichshafen engine. It was built by Neptun Werft in Rostock.,The information provided does not specify who built the A Rosa Luna.,lettria_010,Who built the A Rosa Luna?,Neptun Werft,t5,graphrag_hybrid_k4,True
"In print, A Loyal Character Dancer was penned by Qiu Xiaolong and has the OCLC number 49805501.","The provided context does not include information about the author of the printed book with OCLC number 49805501. Therefore, based on the given knowledge graph, the author cannot be determined.",lettria_011,Who is the author of the printed book with OCLC number 49805501?,Qiu Xiaolong,t5,graphrag_hybrid_k4,True
"AEK Athens FC, whose home ground is in Greece, has 69618 members and compete in the Superleague Greece.","AEK Athens FC has 69,618 members.",lettria_012,How many members does AEK Athens FC have?,69618,t5,graphrag_hybrid_k4,False
"Arrabbiata sauce is from Italy, where the language is Italian and Pietro Grasso is the leader.","The country where Arrabbiata sauce comes from is Italy. As of my knowledge cutoff date in 2024, the leader of Italy is Prime Minister Giorgia Meloni.",lettria_013,Who is the leader of the country where Arrabbiata sauce comes from?,Pietro Grasso,t5,graphrag_hybrid_k4,False
