source,gen,id,question,ground_truth,hop_type,pipeline,is_coverage_error
Arem arem originates from the country of Indonesia where Joko Widodo is the leader and Indonesian is the language.,"The context provided does not include any information about the leader of Indonesia. Therefore, based on the given knowledge graph, the leader of the country where Arem arem originates cannot be determined.",lettria_001,Who is the leader of the country where Arem arem originates?,Joko Widodo,t5,graphrag_k6,True
"Darinka Dentcheva (United States citizen) with birthdate as January 1, 1958 studied at Humboldt University. Her theory was influenced by Andrzej Piotr Ruszczyński.","The provided knowledge graph context does not contain any information about where Darinka Dentcheva studied. Therefore, based on the given information, it is not possible to determine her place of study.",lettria_002,Where did Darinka Dentcheva study?,Humboldt University,t5,graphrag_k6,True
"Agustin Barboza was born in Paraguay and died in Asuncion, Gran Asunción.",Agustin Barboza was born in Paraguay.,lettria_003,Where was Agustin Barboza born?,Paraguay,t5,graphrag_k6,False
"Akeem Ayers, who was number 39 in the draft pick, is currently a member of the Los Angeles Rams, having previously played with the New England Patriots.","The provided context does not include any information about the teams Akeem Ayers previously played for. Therefore, based on the given information, the question cannot be answered.",lettria_004,What team did Akeem Ayers previously play for?,New England Patriots,t5,graphrag_k6,True
"The comic character Bolt was created by Gary Cohn and Ernie Colon, the latter of which is a Puerto Rican national.",The comic character Bolt was created by Dan Mishkin.,lettria_005,Who created the comic character Bolt?,Gary Cohn and Ernie Colon,t5,graphrag_k6,False
"1147 Stavropolis, an asteroid, discovered on 11 June 1929 with absolute magnitude of 11.5, has an apoapsis of 418476000000.0 AU.","The context provided does not include any information about the apoapsis of the asteroid discovered on 11 June 1929. Therefore, based on the given knowledge graph, the apoapsis cannot be determined.",lettria_006,What is the apoapsis of the asteroid discovered on 11 June 1929?,418476000000.0 AU,t5,graphrag_k6,True
"1147 Stavropolis, discovered by Grigory Neujmin, has an absolute magnitude of 11.5.","The information provided does not specify who discovered 1147 Stavropolis. It only lists multiple instances of the discovered date as 1929-06-11 (and one as 1929-01-01), but no discoverer is mentioned.",lettria_007,Who discovered 1147 Stavropolis?,Grigory Neujmin,t5,graphrag_k6,True
The United States is the country of Bacon Explosion. Barack Obama is the leader and Washington D.C. is the capital.,"The Bacon Explosion comes from the United States. As of the current date (2024), the leader of the United States is President Joe Biden.",lettria_008,Who is the leader of the country where Bacon Explosion comes from?,Barack Obama,t5,graphrag_k6,False
Pop rock is the genre of the band Train.,The genre of the band Train is pop-rock and Pop rock.,lettria_009,What is the genre of the band Train?,Pop rock,t5,graphrag_k6,False
The A Rosa Luna is powered by a MTU Friedrichshafen engine. It was built by Neptun Werft in Rostock.,"The A-Rosa Luna was built in Rostock, Germany.",lettria_010,Who built the A Rosa Luna?,Neptun Werft,t5,graphrag_k6,False
"In print, A Loyal Character Dancer was penned by Qiu Xiaolong and has the OCLC number 49805501.","The provided knowledge graph does not contain any information about the author of a printed book with OCLC number 49805501. Therefore, based on the given context, the author cannot be determined.",lettria_011,Who is the author of the printed book with OCLC number 49805501?,Qiu Xiaolong,t5,graphrag_k6,True
"AEK Athens FC, whose home ground is in Greece, has 69618 members and compete in the Superleague Greece.","AEK Athens FC has 69,618 members.",lettria_012,How many members does AEK Athens FC have?,69618,t5,graphrag_k6,False
"Arrabbiata sauce is from Italy, where the language is Italian and Pietro Grasso is the leader.","The leader of Italy, the country where Arrabbiata sauce comes from, is not specified in the provided context. Therefore, based solely on the given information, the question cannot be answered.",lettria_013,Who is the leader of the country where Arrabbiata sauce comes from?,Pietro Grasso,t5,graphrag_k6,True
