source,gen,id,question,ground_truth,hop_type,pipeline,is_coverage_error
Arem arem originates from the country of Indonesia where Joko Widodo is the leader and Indonesian is the language.,The leader of the country where Arem arem originates is Joko Widodo.,lettria_001,Who is the leader of the country where Arem arem originates?,Joko Widodo,t5,rag,False
"Darinka Dentcheva (United States citizen) with birthdate as January 1, 1958 studied at Humboldt University. Her theory was influenced by Andrzej Piotr Ruszczyński.",Darinka Dentcheva studied at Humboldt University.,lettria_002,Where did Darinka Dentcheva study?,Humboldt University,t5,rag,False
"Agustin Barboza was born in Paraguay and died in Asuncion, Gran Asunción.","Agustin Barboza was born in Asunción, Paraguay.",lettria_003,Where was Agustin Barboza born?,Paraguay,t5,rag,False
"Akeem Ayers, who was number 39 in the draft pick, is currently a member of the Los Angeles Rams, having previously played with the New England Patriots.",Akeem Ayers previously played for the St. Louis Rams and the New England Patriots.,lettria_004,What team did Akeem Ayers previously play for?,New England Patriots,t5,rag,False
"The comic character Bolt was created by Gary Cohn and Ernie Colon, the latter of which is a Puerto Rican national.",The comic character Bolt was created by Paris Cullins and Ernie Colón.,lettria_005,Who created the comic character Bolt?,Gary Cohn and Ernie Colon,t5,rag,False
"1147 Stavropolis, an asteroid, discovered on 11 June 1929 with absolute magnitude of 11.5, has an apoapsis of 418476000000.0 AU.","The apoapsis of the asteroid discovered on 11 June 1929, which is 1147 Stavropolis, is 418,476,000,000.0 AU.",lettria_006,What is the apoapsis of the asteroid discovered on 11 June 1929?,418476000000.0 AU,t5,rag,False
"1147 Stavropolis, discovered by Grigory Neujmin, has an absolute magnitude of 11.5.",1147 Stavropolis was discovered by Grigory Neujmin.,lettria_007,Who discovered 1147 Stavropolis?,Grigory Neujmin,t5,rag,False
The United States is the country of Bacon Explosion. Barack Obama is the leader and Washington D.C. is the capital.,"The leader of the United States, where the Bacon Explosion comes from, is Joe Biden.",lettria_008,Who is the leader of the country where Bacon Explosion comes from?,Barack Obama,t5,rag,False
Pop rock is the genre of the band Train.,The genre of the band Train is pop rock.,lettria_009,What is the genre of the band Train?,Pop rock,t5,rag,False
The A Rosa Luna is powered by a MTU Friedrichshafen engine. It was built by Neptun Werft in Rostock.,The A-Rosa Luna was built by Neptun Werft in Rostock.,lettria_010,Who built the A Rosa Luna?,Neptun Werft,t5,rag,False
"In print, A Loyal Character Dancer was penned by Qiu Xiaolong and has the OCLC number 49805501.",The author of the printed book with OCLC number 49805501 cannot be determined from the provided context.,lettria_011,Who is the author of the printed book with OCLC number 49805501?,Qiu Xiaolong,t5,rag,True
"AEK Athens FC, whose home ground is in Greece, has 69618 members and compete in the Superleague Greece.","AEK Athens FC has 69,618 members.",lettria_012,How many members does AEK Athens FC have?,69618,t5,rag,False
"Arrabbiata sauce is from Italy, where the language is Italian and Pietro Grasso is the leader.",The leader of the country where Arrabbiata sauce comes from is Sergio Mattarella.,lettria_013,Who is the leader of the country where Arrabbiata sauce comes from?,Pietro Grasso,t5,rag,False
"The European Space Agency manufactured the Ariane 5, which was launched from the Guiana Space Centre, and had a final flight on the 18th December 2009.",The Ariane 5 was launched from the ELA-3 launchpad.,lettria_014,Where was the Ariane 5 launched from?,the Guiana Space Centre,t5,rag,False
"The duration of the film 'It's great to be young', from 1956, is 94 minutes.",The film 'It's Great to Be Young' is 94 minutes long.,lettria_015,How long is the film 'It's great to be young'?,94 minutes,t5,rag,False
"Former The Wildweeds member, Al Anderson, is the guitarist in the band NRBQ, which plays Rock music.","The band where Al Anderson is the guitarist, NRBQ, plays Rock music.",lettria_016,What music genre is played by the band where Al Anderson is the guitarist?,Rock music,t5,rag,False
Agremiação Sportiva Arapiraquense's ground is Estádio Municipal Coaracy da Mata Fonseca in Arapiraca. The team played in the Brazilian Campeonato Brasileiro Série C league and competed in the 2015 season of that league.,"The team based at Estádio Municipal Coaracy da Mata Fonseca, Agremiação Sportiva Arapiraquense, plays in the Campeonato Brasileiro Série C league.",lettria_017,What Brazilian league does the team based at Estádio Municipal Coaracy da Mata Fonseca play in?,Campeonato Brasileiro Série C,t5,rag,False
"Anderson is part of Madison County, Indiana in the U.S.","Anderson is part of Madison County, Indiana.",lettria_018,What county is Anderson part of?,"Madison County, Indiana",t5,rag,False
"Chinabank, founded on 08-16-1920, offers banking services as well as having a net income of 15,100,000,000.","Chinabank's net income is 15,100,000,000.",lettria_019,What is Chinabank's net income?,"15,100,000,000",t5,rag,False
"Alpena County Regional Airport is located in Wilson Township, Alpena County, Michigan in the United States. It has a runway length of 1533.0.","Alpena County Regional Airport is located in Wilson Township, Alpena County, Michigan, United States.",lettria_020,Where is Alpena County Regional Airport located?,"Wilson Township, Alpena County, Michigan",t5,rag,False
There are 250 academic staff at the AWH Engineering College in the state of Kerala. The College was established in 2001.,"The college established in 2001 in Kerala is AWH Engineering College. According to the context, it has 250 academic staff. 

Therefore, 250 academic staff work at the college established in 2001 in Kerala.",lettria_021,How many academic staff work at the college established in 2001 in Kerala?,250,t5,rag,False
Anaheim is part of California in the US and is led by the California State Assembly.,"The provided context is inconsistent and contains incorrect information about who leads Anaheim. However, based on the factual details in the context:

- Anaheim is a city in Orange County, California, in the United States.
- The context incorrectly states that Anaheim is led by the California State Assembly, the President of the United States, or the United States House of Representatives.

In reality, Anaheim is led by its city government, including a mayor and city council. But based solely on the provided context, none of the statements correctly identify the actual leader of Anaheim. Therefore, **the context does not provide a correct or consistent answer** to who leads Anaheim.",lettria_022,Who leads Anaheim?,California State Assembly,t5,rag,True
Airey Neave fought in World War II which included the East African Campaign and had Benito Mussolini as a commander.,Benito Mussolini was a commander in the war Airey Neave fought in.,lettria_023,Who was a commander in the war Airey Neave fought in?,Benito Mussolini,t5,rag,False
"Brandon Carter was born on January 1st, 1942, in England. He graduated from the University of Cambridge, where his doctoral advisor was Dennis William Sciama. Carter is know for his Doomsday argument and for his work on the Anthropic Principle.","The doctoral advisor of the scientist born on January 1st, 1942 in England, Brandon Carter, was Dennis William Sciama.",lettria_024,"Who was the doctoral advisor of the scientist born on January 1st, 1942 in England?",Dennis William Sciama,t5,rag,False
"Big Hero 6, distributed by Walt Disney Studios Motion Pictures, starred Ryan Potter and was Baymax's first film appearance.",The film Big Hero 6 starred Ryan Potter.,lettria_025,Who starred in Big Hero 6?,Ryan Potter,t5,rag,False
"Albuquerque is in New Mexico, United States. Americans live in the U.S. and Asian Americans are an ethnic group there.","Albuquerque is located in New Mexico, United States.",lettria_026,Where is Albuquerque located?,"New Mexico, United States",t5,rag,False
Atlanta is located in the United States (capital: Washington D.C.) and African Americans are an ethnic group in the country.,The capital of the country where Atlanta is located is Atlanta.,lettria_027,What is the capital of the country where Atlanta is located?,Washington D.C.,t5,rag,False
Albert Jennings Fountain was born in the United States and died in the New Mexico Territory. An ethnic group in the U.S.A. are African Americans.,"Albert Jennings Fountain died in Dona Ana County, New Mexico.",lettria_028,Where did Albert Jennings Fountain die?,New Mexico Territory,t5,rag,False
"The runway length of Alpena County Regional Airport is 1,533 and it is located at Maple Ridge Township, Alpena County, Michigan, United States.",The runway length of Alpena County Regional Airport is 2744 metres.,lettria_029,What is the runway length of Alpena County Regional Airport?,"1,533",t5,rag,False
"Chinabank is a bank with 5594 employees that was founded on Aug. 16, 1920.",Chinabank has 5594 employees.,lettria_030,How many employees does Chinabank have?,5594,t5,rag,False
Akeem Ayers former team is the Los Angeles Rams who are based at the Los Angeles Memorial Coliseum in LA.,"Akeem Ayers' former team, the Tennessee Titans, are based in Nashville.",lettria_031,Where are Akeem Ayers' former team based?,Los Angeles Memorial Coliseum,t5,rag,False
"The Velvet Underground had created the album Bootleg Series Volume 1: The Quine Tapes, which was produced by The Velvet Underground and recorded in the United States.","The context provided does not specify who created the album *Bootleg Series Volume 1: The Quine Tapes*. It mentions the record labels (Universal Music Group and Polydor Records), the release date (October 16, 2001), the recording location (San Francisco), and that it was preceded by the album *Squeeze*, but it does not identify the artist or creator of the album.",lettria_032,Who created the album Bootleg Series Volume 1: The Quine Tapes?,The Velvet Underground,t5,rag,True
"Year of No Light self-produced their sludge-metal album Nord, and released it on September 6th, 2006. The band's next album was Live at Roadburn 2008.","Year of No Light released Nord on September 6, 2006.",lettria_033,When did Year of No Light release Nord?,"September 6th, 2006",t5,rag,False
"Brandon Carter who was born in England, graduated from the University of Cambridge and developed General Relativity as his profession. His doctoral advisor was Dennis William Sciama.",Brandon Carter was born in England.,lettria_034,Where was Brandon Carter born?,England,t5,rag,False
"The AIDS journal is published by Lippincott, Williams & Wilkins. It is is published in the UK, which capital is London.",The AIDS journal is published by Lippincott Williams & Wilkins.,lettria_035,Who publishes the AIDS journal?,"Lippincott, Williams & Wilkins",t5,rag,False
